scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,seed,selected_seed,summary_value,summary_std,baseline_value,baseline_regime,delta
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50,cyclist,,False,0.2466444822726609,0.000694254416372749,0.06298551633039473,synthetic_only,0.18365896594226616
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50,pedestrian,,False,0.39677091902656886,0.0007386648322631967,0.1509283929132293,synthetic_only,0.24584252611333957
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,all,,False,0.20486484269672933,0.0005045188767427957,0.08272704297805866,synthetic_only,0.12213779971867067
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,car,,False,0.3624209674070997,0.001230084210086734,0.16089382840613536,synthetic_only,0.20152713900096436
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,cyclist,,False,0.10322084908894873,0.0016531420558887025,0.026165054740922733,synthetic_only,0.077055794348026
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,pedestrian,,False,0.14895271159413945,0.0002347121658783525,0.061122245787117925,synthetic_only,0.08783046580702153
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,all,,False,0.16591423334890373,0.00039086232279394176,0.06625567478785617,synthetic_only,0.09965855856104756
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,car,,False,0.3463878509626508,0.0010296687563509325,0.14246602630058855,synthetic_only,0.20392182466206224
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,cyclist,,False,0.07092403592878727,0.002887409843204454,0.017270310053056865,synthetic_only,0.053653725875730404
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,pedestrian,,False,0.08043081315527313,0.0032176145776458753,0.03903068800992307,synthetic_only,0.04140012514535006
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AR_1,all,,False,0.08529924849431976,0.001336334861924718,0.045357936662387466,synthetic_only,0.039941311831932294
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AR_10,all,,False,0.2545938030480486,0.0015480775700647679,0.12861226409618384,synthetic_only,0.12598153895186473
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AR_100,all,,False,0.29795614038885493,0.0018232401782931446,0.15541363778681141,synthetic_only,0.1425425026020435
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,all,,False,0.4073984836097246,0.0006801349578555642,0.42508814286996804,synthetic_only,-0.017689659260243462
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,car,,False,0.5523822088882896,0.0014351114191139933,0.5792128411952718,synthetic_only,-0.02683063230698224
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,cyclist,,False,0.3333590161341761,0.0013732024089870131,0.3486894166421013,synthetic_only,-0.015330400507925168
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,pedestrian,,False,0.33645422580670775,0.0007209889562532722,0.347362170772531,synthetic_only,-0.010907944965823257
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,all,,False,0.21856352757603884,0.0006638971536743853,0.2340428678484835,synthetic_only,-0.015479340272444658
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,car,,False,0.33742120964126143,0.0015623400606818224,0.35862394508906853,synthetic_only,-0.021202735447807097
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,cyclist,,False,0.15692635469679697,0.0009282212462411539,0.17658562920135212,synthetic_only,-0.019659274504555152
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,,False,0.16134301839005824,0.0011288690776622937,0.16691902925502977,synthetic_only,-0.005576010864971531
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,all,,False,0.20281286963990217,0.0008939741388894797,0.2251906067182797,synthetic_only,-0.022377737078377535
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,car,,False,0.3481766340966959,0.0020371925649079006,0.378500673782516,synthetic_only,-0.030324039685820092
