scenario,scale,architecture,regime,real_pct,synthetic_pct,seed,eval_domain,eval_dataset,metric,class,value,selected_seed,source_file
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_100,cyclist,0.07000614628149968,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50_95,all,0.24445369253822627,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50,all,0.4672705939598442,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_75,all,0.23420193628894073,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_1,all,0.1200210334871784,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_10,all,0.3164556140448828,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_100,all,0.34206890303621307,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50_95,car,0.47354089341523525,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_50,car,0.7967713731049088,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AP_75,car,0.5070375778843039,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_1,car,0.15460148522293377,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_50_50,50,50,2,external,KITTI,AR_10,car,0.5292264213342955,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_50_50_yolov8m_seed2_kitti_eval\internal\metrics.json
