scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.1352357180060765,0.0011685158104166717,0.1343687376268212,0.1365645784909918,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,car,0.7153518919394916,0.002135769602788104,0.7133479155216919,0.7175986976787431,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,cyclist,0.2817632116608127,0.006031533645501255,0.2748946526926166,0.2861957753690289,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,pedestrian,0.4351082179491043,0.0038961020158908015,0.431944001574683,0.4394598769970343,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,car,0.38486701483122715,0.000666832384549131,0.3843878834875165,0.3856285865334011,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,cyclist,0.1147965946653311,0.0038425928684404265,0.1112284677478896,0.1188647055575263,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,pedestrian,0.15643210087556222,0.0004935575443374497,0.1558998875424658,0.1568747316923795,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,car,0.36774503317830914,0.001341205428299667,0.3662245876393986,0.3687602383457956,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,cyclist,0.07300796173745473,0.006093175060171731,0.0678143687978024,0.0797153210150718,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,pedestrian,0.0746657225079108,0.0010060915534190285,0.0735487296291279,0.0755007427173878,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,car,0.5530485185506934,0.003258358205863834,0.5504251250330194,0.5566958636213037,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,cyclist,0.31914836821612363,0.0010024762775922421,0.3183251106371672,0.3202647266744489,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.33176151203187637,0.004071231505249558,0.3271028732466321,0.3346364865085946,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,car,0.3317600461320966,0.0017926313070648057,0.3297149223489496,0.3330594266227089,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.14802452759503928,0.0006186541511552113,0.1474272106030109,0.1486625122866488,3
