scenario,scale,architecture,regime,eval_domain,eval_dataset,summary_value,delta_vs_real,delta_vs_synthetic,architecture_gap
ADD,large,FasterRCNN,hybrid_30_70,real_internal,BDD,0.1934497755174741,-0.023247240588822,0.1107227325394154,0.0862489346826523
ADD,large,FasterRCNN,hybrid_30_70,synthetic_internal,SYNTHIA,0.2269104068869626,0.1594436820589729,-0.0071324609615208,0.1511644835224077
ADD,large,FasterRCNN,hybrid_50_50,real_internal,BDD,0.2048648426967293,-0.0118321734095668,0.1221377997186706,0.1001354540191227
ADD,large,FasterRCNN,hybrid_50_50,synthetic_internal,SYNTHIA,0.2185635275760388,0.1510968027480491,-0.0154793402724446,0.1439114702876522
ADD,large,FasterRCNN,hybrid_70_30,real_internal,BDD,0.2186985701240401,0.0020015540177439,0.1359715271459815,0.1525111668469273
ADD,large,FasterRCNN,hybrid_70_30,synthetic_internal,SYNTHIA,0.2112248734099149,0.1437581485819252,-0.0228179944385685,0.1621303572776974
ADD,large,FasterRCNN,real_only,real_internal,BDD,0.2166970161062962,0.0,0.1339699731282375,0.1734855111056338
ADD,large,FasterRCNN,real_only,synthetic_internal,SYNTHIA,0.0674667248279897,0.0,-0.1665761430204937,0.0286406501580945
ADD,large,FasterRCNN,synthetic_only,real_internal,BDD,0.0827270429780586,-0.1339699731282375,0.0,-0.0210091346191737
ADD,large,FasterRCNN,synthetic_only,synthetic_internal,SYNTHIA,0.2340428678484835,0.1665761430204937,0.0,0.1615485091338068
ADD,large,YOLOv8m,hybrid_30_70,real_internal,BDD,0.2796987102001265,-0.1104838170118036,0.2179808018412415,0.0862489346826523
ADD,large,YOLOv8m,hybrid_30_70,synthetic_internal,SYNTHIA,0.3780748904093703,0.2819675154232861,-0.0175164865729199,0.1511644835224077
ADD,large,YOLOv8m,hybrid_50_50,real_internal,BDD,0.3050002967158521,-0.0851822304960779,0.2432823883569671,0.1001354540191227
ADD,large,YOLOv8m,hybrid_50_50,synthetic_internal,SYNTHIA,0.362474997863691,0.2663676228776068,-0.0331163791185992,0.1439114702876522
ADD,large,YOLOv8m,hybrid_70_30,real_internal,BDD,0.3712097369709675,-0.0189727902409626,0.3094918286120826,0.1525111668469273
ADD,large,YOLOv8m,hybrid_70_30,synthetic_internal,SYNTHIA,0.3733552306876124,0.2772478557015281,-0.0222361462946779,0.1621303572776974
ADD,large,YOLOv8m,real_only,real_internal,BDD,0.3901825272119301,0.0,0.3284646188530452,0.1734855111056338
ADD,large,YOLOv8m,real_only,synthetic_internal,SYNTHIA,0.0961073749860842,0.0,-0.299484001996206,0.0286406501580945
ADD,large,YOLOv8m,synthetic_only,real_internal,BDD,0.0617179083588849,-0.3284646188530452,0.0,-0.0210091346191737
ADD,large,YOLOv8m,synthetic_only,synthetic_internal,SYNTHIA,0.3955913769822903,0.299484001996206,0.0,0.1615485091338068
IS,small,FasterRCNN,hybrid_30_70,real_internal,IS_real,0.0257667096115134,-0.018162785814743,0.0193668590599116,0.0273564147621712
IS,small,FasterRCNN,hybrid_30_70,synthetic_internal,IS_synth,0.3297047679230465,,-0.1914995499785441,0.2831843835261665
IS,small,FasterRCNN,hybrid_50_50,real_internal,IS_real,0.0328092362076421,-0.0111202592186142,0.0264093856560404,0.0268808455365374
