scenario,scale,architecture,regime,eval_domain,eval_dataset,summary_value,delta_vs_real,delta_vs_synthetic,architecture_gap
IS,small,FasterRCNN,hybrid_50_50,synthetic_internal,IS_synth,0.2614268135930115,,-0.2597775043085792,0.2696679013323695
IS,small,FasterRCNN,hybrid_70_30,real_internal,IS_real,0.0330379330040955,-0.0108915624221609,0.0266380824524937,0.0278514597665108
IS,small,FasterRCNN,hybrid_70_30,synthetic_internal,IS_synth,0.1612271035323914,,-0.3599772143691992,0.2535126540446134
IS,small,FasterRCNN,real_only,real_internal,IS_real,0.0439294954262564,0.0,0.0375296448746547,0.0202636848321135
IS,small,FasterRCNN,synthetic_only,real_internal,IS_real,0.0063998505516017,-0.0375296448746547,0.0,0.0037756056279863
IS,small,FasterRCNN,synthetic_only,synthetic_internal,IS_synth,0.5212043179015907,,0.0,0.2707135162407832
IS,small,YOLOv8m,hybrid_30_70,real_internal,IS_real,0.0531231243736846,-0.0110700558846853,0.0429476681940966,0.0273564147621712
IS,small,YOLOv8m,hybrid_30_70,synthetic_internal,IS_synth,0.6128891514492131,,-0.1790286826931608,0.2831843835261665
IS,small,YOLOv8m,hybrid_50_50,real_internal,IS_real,0.0596900817441795,-0.0045030985141904,0.0495146255645915,0.0268808455365374
IS,small,YOLOv8m,hybrid_50_50,synthetic_internal,IS_synth,0.5310947149253811,,-0.2608231192169928,0.2696679013323695
IS,small,YOLOv8m,hybrid_70_30,real_internal,IS_real,0.0608893927706063,-0.0033037874877636,0.0507139365910183,0.0278514597665108
IS,small,YOLOv8m,hybrid_70_30,synthetic_internal,IS_synth,0.4147397575770048,,-0.3771780765653691,0.2535126540446134
IS,small,YOLOv8m,real_only,real_internal,IS_real,0.06419318025837,0.0,0.0540177240787819,0.0202636848321135
IS,small,YOLOv8m,synthetic_only,real_internal,IS_real,0.010175456179588,-0.0540177240787819,0.0,0.0037756056279863
IS,small,YOLOv8m,synthetic_only,synthetic_internal,IS_synth,0.7919178341423739,,0.0,0.2707135162407832
ADD,large,YOLOv8m,hybrid_30_70,external,KITTI,0.2412878876435444,-0.0199775044835076,0.0761025788341762,0.0318290384064692
ADD,large,YOLOv8m,hybrid_50_50,external,KITTI,0.2444536925382262,-0.0168116995888258,0.0792683837288581,0.0342775232426695
ADD,large,YOLOv8m,hybrid_70_30,external,KITTI,0.2585759859982708,-0.0026894061287812,0.0933906771889027,0.0567830976842763
ADD,large,YOLOv8m,real_only,external,KITTI,0.2612653921270521,0.0,0.0960800833176839,0.059570563015446
ADD,large,YOLOv8m,synthetic_only,external,KITTI,0.1651853088093681,-0.0960800833176839,0.0,-0.0160300811315561
ADD,large,FasterRCNN,hybrid_30_70,external,KITTI,0.2094588492370751,0.0077640201254691,0.0282434592961509,0.0318290384064692
ADD,large,FasterRCNN,hybrid_50_50,external,KITTI,0.2101761692955567,0.0084813401839506,0.0289607793546324,0.0342775232426695
ADD,large,FasterRCNN,hybrid_70_30,external,KITTI,0.2017928883139945,9.80592023885063e-05,0.0205774983730702,0.0567830976842763
ADD,large,FasterRCNN,real_only,external,KITTI,0.201694829111606,0.0,0.0204794391706817,0.059570563015446
ADD,large,FasterRCNN,synthetic_only,external,KITTI,0.1812153899409242,-0.0204794391706817,0.0,-0.0160300811315561
