scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50,all,0.4176093382478759,0.003921051102664332,0.4152721741865933,0.4221361772464534,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,all,0.19344977551747414,0.0019513859793772812,0.1914585298256672,0.1953586960621897,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_75,all,0.15669911488760394,0.0026857883107579226,0.1536779573776123,0.1588162530585433,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AR_1,all,0.08280388407982617,0.00184234299624479,0.0809521714878347,0.0846367123011357,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AR_10,all,0.24457569005713584,0.0013782472423500296,0.2433807250411563,0.2460834524226333,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AR_100,all,0.28646617596517304,0.001176567856994917,0.2851741155437695,0.2874758637382814,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,all,0.41901793124075487,0.0011637659380362077,0.417676960069499,0.4197639045533904,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,all,0.2269104068869626,0.0014905290856432423,0.2252030343359898,0.2279520723748288,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,all,0.21319743330812999,0.00234157553085276,0.2105554234991943,0.2150162475072118,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_1,all,0.03782956840098983,0.000109164785182048,0.0377194696985901,0.0379377746625708,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_10,all,0.19448980905257504,0.0006421169565873181,0.1937623558867719,0.1949777254281699,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_100,all,0.2712016678759586,0.001027674664768119,0.2700282790661069,0.271941607973458,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50,all,0.4402425166254625,0.0009994977423808398,0.4396496907195404,0.4413964922997304,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,all,0.20486484269672933,0.0005045188767428038,0.2042825314439174,0.2051709816680977,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,all,0.16591423334890373,0.00039086232279393065,0.1656478195019576,0.1663629416226059,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AR_1,all,0.08529924849431976,0.0013363348619247198,0.0844459720943908,0.0868393185072789,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AR_10,all,0.2545938030480486,0.001548077570064783,0.2528995410443252,0.2559345445846359,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AR_100,all,0.29795614038885493,0.0018232401782931511,0.2967101669454969,0.3000487758378077,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,all,0.4073984836097246,0.0006801349578555642,0.4066913169687701,0.4080479048374045,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,all,0.21856352757603884,0.0006638971536743877,0.2180722471119555,0.2193188167655645,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,all,0.20281286963990217,0.0008939741388894813,0.2022019308013112,0.2038389326080371,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_1,all,0.037078452238982866,6.08439268161933e-05,0.0370213297869162,0.0371424359512761,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_10,all,0.18917590960359928,0.0004313389971352683,0.1888364414368099,0.1896612769445131,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_100,all,0.2635307669819886,0.00035633934853808127,0.2633081025062042,0.2639417542377502,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,all,0.4774077738498028,0.0010639231765818863,0.4764878641025635,0.4785728932917104,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50_95,all,0.21869857012404018,0.0012870546983274158,0.2175856472745856,0.2201080039075565,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_75,all,0.17180623914122492,0.0018978441630271648,0.1700411122575753,0.1738135504572861,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AR_1,all,0.09055370846180215,0.0012749787995995764,0.0892158856640327,0.0917548261747744,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AR_10,all,0.27081158465901184,0.002795270521175896,0.2691146425237442,0.2740378336449383,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AR_100,all,0.31962894436186146,0.0032619471431421404,0.3176334895737446,0.3233932435164368,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50,all,0.4013194662662311,0.0003968116403414266,0.4008846680682302,0.4016620547145063,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_50_95,all,0.21122487340991492,0.0004817365328055763,0.2107873490041006,0.2117411240710472,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AP_75,all,0.19189736691641066,0.00043102377226838514,0.191477191231799,0.192338475943473,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AR_1,all,0.036609438687031065,0.00013144717056047354,0.0364982083756927,0.036754492212699,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AR_10,all,0.18486820889940592,0.0003786787293570459,0.1844309832874046,0.1850916074368042,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,synthetic_internal,SYNTHIA,AR_100,all,0.25926200127887816,0.0004951890541548828,0.2588146775934047,0.2597941081566951,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50,all,0.4870774362961748,0.0026205265385013956,0.4840516461603756,0.4886149256635203,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_50_95,all,0.21669701610629621,0.0012413970046619691,0.2157581404140818,0.2181045109064901,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AP_75,all,0.15858756474667113,0.003698112096254527,0.1549121894428563,0.1623080018132764,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AR_1,all,0.08580625160195397,0.001072442657611861,0.0850968308637772,0.0870399812632363,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AR_10,all,0.26601524434444074,0.0026880900710052245,0.2637341637590775,0.268978785391962,3
ADD,large,FasterRCNN,real_only,100,0,real_internal,BDD,AR_100,all,0.3133089312061561,0.0008321401423655991,0.3124044484499511,0.3140420469767049,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50,all,0.15953617503479542,0.0019835071232015325,0.1575548897765643,0.1615218965813483,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,all,0.0674667248279897,0.0008148418460189756,0.0665507949847655,0.0681111612641612,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,all,0.04859353626020643,0.0015107808093548448,0.047184875568762,0.0501890539858883,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AR_1,all,0.020113259586054064,0.00011533509899679738,0.0200124493933404,0.0202390315441233,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AR_10,all,0.07614413691993423,0.0013106939492111393,0.075010069529354,0.0775791204949499,3
